method,pair_type,frame_index,stamp_sec,bag_time_sec,delta_time_sec,orb_slam_tracking_ok,keypoints_a,keypoints_b,matches,ransac_inliers,ransac_inlier_ratio,strict_inliers,strict_inlier_ratio,strict_grid_coverage,match_latency_ms,median_vertical_error_px,median_disparity_px,rectified_inliers,rectified_inlier_ratio
xfeat,stereo,191,2588.541527025,1780624764.4583938,0.0,True,1024,1024,598,378,0.6321070234113713,361,0.6036789297658863,0.75,3.4972320136148483,1.0,6.0,470,0.7859531772575251
xfeat,temporal,191,2588.541527025,1780624764.4583938,0.08997404100000495,True,1024,1024,591,414,0.700507614213198,414,0.700507614213198,0.6875,3.1036000000312924,2.0,nan,0,0.0
orb,stereo,191,2588.541527025,1780624764.4583938,0.0,True,849,808,502,422,0.8406374501992032,417,0.8306772908366534,0.4583333333333333,1.8112539837602526,0.0,2.0735931396484375,431,0.8585657370517928
orb,temporal,191,2588.541527025,1780624764.4583938,0.08997404100000495,True,820,849,520,427,0.8211538461538461,427,0.8211538461538461,0.4583333333333333,1.6204779967665672,1.4399871826171875,nan,0,0.0
xfeat,stereo,200,2589.531530568,1780624765.3766778,0.0,True,1024,1024,577,388,0.6724436741767764,367,0.6360485268630849,0.75,4.0337370010092854,1.0,7.0,431,0.7469670710571924
orb,stereo,200,2589.531530568,1780624765.3766778,0.0,True,865,825,489,427,0.8732106339468303,424,0.8670756646216768,0.5625,3.4147629921790212,0.0,2.4883270263671875,439,0.8977505112474438
xfeat,stereo,201,2589.621546568,1780624765.4794037,0.0,True,1024,1024,587,423,0.7206132879045997,408,0.6950596252129472,0.7083333333333334,3.7769020127598196,1.0,4.0,478,0.8143100511073254
xfeat,temporal,201,2589.621546568,1780624765.4794037,0.09001600000010512,True,1024,1024,580,358,0.6172413793103448,358,0.6172413793103448,0.6041666666666666,3.262393001932651,2.0,nan,0,0.0
orb,stereo,201,2589.621546568,1780624765.4794037,0.0,True,790,714,431,356,0.8259860788863109,355,0.8236658932714617,0.4791666666666667,2.3983859864529222,0.0,2.4000015258789062,368,0.8538283062645011
orb,temporal,201,2589.621546568,1780624765.4794037,0.09001600000010512,True,865,790,425,370,0.8705882352941177,370,0.8705882352941177,0.4791666666666667,4.114042007131502,0.3455963134765625,nan,0,0.0
xfeat,stereo,210,2590.521622443,1780624766.4044385,0.0,True,1024,1024,620,445,0.717741935483871,416,0.6709677419354839,0.6875,3.1890019890852273,1.0,8.0,474,0.7645161290322581
orb,stereo,210,2590.521622443,1780624766.4044385,0.0,True,815,724,425,362,0.851764705882353,359,0.8447058823529412,0.5208333333333334,1.982337998924777,0.0,2.4000091552734375,369,0.8682352941176471
xfeat,stereo,211,2590.611631985,1780624766.5062003,0.0,True,1024,1024,607,390,0.642504118616145,364,0.5996705107084019,0.7083333333333334,3.500304010231048,1.0,5.0,464,0.7644151565074135
xfeat,temporal,211,2590.611631985,1780624766.5062003,0.09000954199973421,True,1024,1024,610,391,0.6409836065573771,391,0.6409836065573771,0.6875,3.2795020088087767,3.0,nan,0,0.0
orb,stereo,211,2590.611631985,1780624766.5062003,0.0,True,774,674,399,334,0.8370927318295739,328,0.8220551378446115,0.5833333333333334,1.7173319938592613,0.0,2.4883193969726562,339,0.849624060150376
orb,temporal,211,2590.611631985,1780624766.5062003,0.09000954199973421,True,815,774,488,406,0.8319672131147541,406,0.8319672131147541,0.5625,1.7694249982014298,2.0,nan,0,0.0
xfeat,stereo,220,2591.511565568,1780624767.4319038,0.0,True,1024,1024,593,366,0.6172006745362564,347,0.5851602023608768,0.6458333333333334,5.057238013250753,1.0,5.0,442,0.7453625632377741
orb,stereo,220,2591.511565568,1780624767.4319038,0.0,True,654,564,318,245,0.7704402515723271,241,0.7578616352201258,0.4375,1.316228008363396,0.0,2.03680419921875,256,0.8050314465408805
xfeat,stereo,221,2591.691540444,1780624767.5333385,0.0,True,1024,1024,597,376,0.6298157453936348,358,0.5996649916247906,0.6666666666666666,4.971206013578922,1.0,12.5,450,0.7537688442211056
xfeat,temporal,221,2591.691540444,1780624767.5333385,0.1799748759999602,True,1024,1024,516,304,0.5891472868217055,304,0.5891472868217055,0.6666666666666666,3.4517729945946485,3.0,nan,0,0.0
orb,stereo,221,2591.691540444,1780624767.5333385,0.0,True,636,582,332,269,0.8102409638554217,268,0.8072289156626506,0.4583333333333333,1.616358000319451,0.0,2.0736007690429688,277,0.8343373493975904
orb,temporal,221,2591.691540444,1780624767.5333385,0.1799748759999602,True,654,636,341,246,0.7214076246334311,246,0.7214076246334311,0.4791666666666667,1.6667059971950948,2.0,nan,0,0.0
