frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
54,1785980805157008222,2,605,217,0.358678,0.833333,177,83.009334,8.445548,0,0,0,0,0,0,0.000000,91.454882,107.987931,1,-0.000245,0.000063,0.000000,0.000068,0.000088,-0.000166,1.000000
55,1785980805247010722,2,605,216,0.357025,0.812500,180,84.136017,8.509465,0,0,0,0,0,0,0.000000,92.645482,111.465067,1,0.000024,0.000079,-0.000077,0.000160,-0.000049,-0.000010,1.000000
56,1785980805337009139,2,604,229,0.379139,0.791667,169,83.666552,8.851138,0,0,0,0,0,0,0.000000,92.517690,109.526704,1,-0.000449,-0.000024,-0.000317,0.000011,0.000050,-0.000317,1.000000
57,1785980805427010264,2,606,236,0.389439,0.833333,150,83.648260,9.255852,0,0,0,0,0,0,0.000000,92.904112,109.282075,1,0.000785,0.000729,-0.006870,-0.000260,0.000209,-0.000891,1.000000
58,1785980805517010555,2,606,220,0.363036,0.854167,135,85.865752,8.546216,0,0,0,0,0,0,0.000000,94.411968,108.452604,1,0.000148,0.001355,-0.023518,0.002274,-0.000150,-0.002108,0.999995
59,1785980805607008555,2,605,208,0.343802,0.812500,104,83.988639,8.174544,0,0,0,0,0,0,0.000000,92.163183,104.878756,1,0.003350,0.001285,-0.045955,0.006069,-0.001304,0.000591,0.999981
60,1785980805697011014,2,606,200,0.330033,0.791667,104,83.829260,8.040125,0,0,0,0,0,0,0.000000,91.869385,102.110502,1,0.006849,0.002774,-0.069297,0.009752,-0.000783,0.002727,0.999948
61,1785980805787012389,2,606,209,0.344884,0.812500,90,84.921068,8.420214,0,0,0,0,0,0,0.000000,93.341282,104.151284,1,0.012353,0.003293,-0.093234,0.009950,0.002193,0.004854,0.999936
62,1785980805877011681,2,607,213,0.350906,0.812500,94,85.040113,8.351505,0,0,0,0,0,0,0.000000,93.391618,103.923114,1,0.013518,0.005946,-0.113927,0.008208,0.008694,-0.000864,0.999928
63,1785980805967012389,2,607,198,0.326194,0.812500,163,85.070654,8.127043,0,0,0,0,0,0,0.000000,93.197697,103.830280,1,0.010723,0.007348,-0.137726,0.007220,0.014328,-0.010675,0.999814
64,1785980806057011472,2,607,199,0.327842,0.812500,175,87.923032,7.848705,0,0,0,0,0,0,0.000000,95.771737,108.476268,1,0.012812,0.006959,-0.163689,0.014374,0.011820,-0.008239,0.999793
