frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
60,1785981020257855408,2,604,236,0.390728,0.812500,124,79.043801,61.435216,355,342,16,15,1,302,53.433760,140.479017,153.718164,1,0.099202,0.065386,-1.080595,0.008210,-0.053409,0.020296,0.998333
61,1785981020347854950,2,605,209,0.345455,0.791667,113,77.500710,60.918921,354,343,16,16,0,306,53.278468,138.419631,151.254486,1,0.104271,0.067644,-1.113516,0.007515,-0.054084,0.021081,0.998286
62,1785981020437855283,2,607,216,0.355848,0.770833,81,78.693550,61.002505,355,339,14,14,0,306,53.115592,139.696055,149.366477,1,0.127568,0.079338,-1.145651,0.011598,-0.061955,0.038202,0.997280
63,1785981020527853950,2,606,221,0.364686,0.833333,78,79.072468,61.429924,356,346,17,17,0,306,53.261301,140.502392,150.088522,1,0.136887,0.091115,-1.183864,0.017348,-0.063634,0.046352,0.996745
64,1785981020617854616,2,606,203,0.334983,0.750000,74,79.475719,61.031254,365,355,12,12,0,324,53.370676,140.506973,149.392559,1,0.146325,0.109174,-1.219241,0.024482,-0.066375,0.047657,0.996355
65,1785981020707854116,2,605,196,0.323967,0.770833,145,81.523647,60.289960,357,341,11,11,0,316,52.869591,141.813607,151.729488,1,0.141943,0.108571,-1.250346,0.022569,-0.064101,0.044769,0.996683
66,1785981020797856908,2,607,204,0.336079,0.687500,104,75.067073,60.742295,342,338,14,14,0,303,53.225842,135.809368,147.581593,1,0.145369,0.103658,-1.275949,0.017420,-0.065116,0.039890,0.996928
67,1785981020887853908,2,603,229,0.379768,0.770833,99,78.918967,61.420840,343,339,18,18,0,302,53.020758,140.339807,151.487861,1,0.154548,0.108014,-1.307745,0.018097,-0.068724,0.039238,0.996700
68,1785981020977854200,2,606,213,0.351485,0.791667,81,81.319353,61.237714,368,356,19,19,0,321,53.410051,142.557067,151.972822,1,0.151216,0.094749,-1.342636,0.009895,-0.063571,0.041217,0.997077
69,1785981021067858325,2,605,227,0.375207,0.770833,93,77.915462,61.447757,367,357,11,11,0,327,53.066258,139.363219,150.978276,1,0.147725,0.077906,-1.371219,0.002001,-0.059883,0.041426,0.997343
70,1785981021157858533,2,604,243,0.402318,0.770833,170,77.271667,61.905301,358,345,23,23,0,294,53.438801,139.176968,150.521189,1,0.142049,0.082821,-1.405744,0.002433,-0.056332,0.038164,0.997679
71,1785981021247859158,2,603,231,0.383085,0.833333,113,76.083578,61.776675,355,347,17,17,0,308,53.828720,137.860253,151.221818,1,0.146462,0.084588,-1.440894,0.001985,-0.055858,0.040916,0.997598
72,1785981021337860492,2,604,230,0.380795,0.791667,104,76.804081,61.783550,358,346,14,14,0,305,53.426718,138.587631,149.388308,1,0.140887,0.060513,-1.469473,-0.009291,-0.052589,0.035289,0.997949
73,1785981021427859658,2,606,258,0.425743,0.770833,90,74.038110,62.225928,340,328,12,12,0,290,53.020924,136.264038,147.554550,1,0.148350,0.047269,-1.498908,-0.015875,-0.054102,0.036446,0.997744
74,1785981021517860325,2,602,253,0.420266,0.812500,88,74.971364,62.213760,352,346,12,12,0,311,53.097758,137.185124,148.313303,1,0.150731,0.051036,-1.533818,-0.015001,-0.053829,0.035659,0.997800
